,Unnamed: 0,Description,hacktype_label
636,636,"February 2017. A sophisticated malware operation extracte d over 600 gigabytes of data from 70 mostly Ukrainian targets in the fields of critical infrastructure, news media, and scientific research. ",4
793,793,"May 2012. An espionage toolkit named âFlameâ is discovered in computers in the Iranian Oil Ministry, as well as in other Middle Eastern countries, including Israel, Syria, and Sudan, and other nations around the world. ",4
519,519,"July 2018 . Singaporeâs largest healthcare institution was targeted by state -sponsored hackers, leading to the leakage of personal information for 1.5 million patients, along with prescription details for 160,000 others. ",2
794,794,May 2012. UK officials told the press that there had been a small number of successful perpetrations of classified MOD networks. ,0
901,901,June 2007. The Secretary of Defenseâs unclassified email account was hacked by unknown foreign intruders as part of a larger series of attacks to access and exploit DOD networks. ,0
903,903,May 2007. The National Defense University had to take its email systems offline because o f hacks by unknown foreign intruders that left spyware on the system. ,4
836,836,May 2010. Chinese hackers breached the computer network of the U.S. Chamber of Commerce and stole information related to U.S. industries ,2
294,294,"August 2020 . Russian hackers compromised news sites and replaced legitimate articles with falsified posts that used fabricated quotes from military and political officials to discredit NATO among Polish, Lith uanian, and Latvian audiences. ",3
644,644,"October 2016. A cyber mercenary contracted by a rival firm used a botnet to disable a Liberian telecom company, rendering half the country unable to access the internet.   ",1
603,603,July 2017. The FBI and DHS announced that hackers had been targeting US energy facilities including the Wolf Creek Nucl ear Operating Corporation in a campaign bearing resemblance to the operations of a known Russian hacking group ,0
891,891,March 2008. South Korean Officials claimed that China had attempted to hack into Korean Embassy and Korea military networks. ,0
857,857,"June 2009. The John Hopkins Universityâs Applied Physics Laboratory, which does classified research for the Department of Defense and NASA, took its unclassified networks offline after they were penetrated. ",0
700,700,"June 2015. Media reports say that Stuxnet -like attacks were attempted against North Korea by the U.S., without success. ",4
315,315,May 2020 . Chinese hackers accessed the travel records of nine million customer s of UK airline group EasyJet ,2
412,412,June 2019. Iran announced that it had exposed and helped dismantle an alleged CIA -backed cyber espionage network across multiple countries ,2
638,638,"December 2016. Russian hackers targeted Ukraineâs national power company, Ukrenergo, and shut down power to northern Kiev for over an hour. ",1
61,61,March 2022. Hackers used a DDoS attack to shut down the National Telecommunications Authority of the Marshall Islands. The attack disrupted internet services on the Islands for over a week. ,1
850,850,"December 2009. Downlinks from U.S military UAVs were hacked by Iraqi insurgents using laptops and $24.99 file sharing software, allowing them to see what the UAV had viewed. ",0
592,592,September 2017. The SEC reported that cybercriminals accessed the agencyâs files in 2016 and used the information gathered for illicit trading ,2
874,874,December 2008. Even tiny CSIS was hacked in December by unknown foreign intruders. They probably assumed that so me CSIS staff would go into the new administration and may have thought it might be interesting to read their emails beforehand. ,0
91,91,January 2022. An Australian spokesman accused WeChat of taking down Prime Minister Scott Morrisonâs account and redirecting users to a we bsite that provides information for Chinese expatriates. The Government claims that they first encountered problems posting to the Prime Ministerâs account in mid -2021. ,1
25,25,"June 2022. Hackers targeted Lithuaniaâs state railway, airports, media companies, and government ministries with DDoS attacks. A Russian -backed hacking group claimed responsibility for the attack. ",1
739,739,"March 2014. Cybercriminals steal 40 million credit card numbers from Target, with an additional 70 million accounts compromised. ",2
635,635,February 2017. Hackers compromised the Singaporean militaryâs web access system and stole the personal information of 850 people. The Ministry of Defense said it was likely the attack was state sponsored. ,2
302,302,June 2020 . A hacking group affiliated with an unknown government was found to have targeted a range of Kurdish individuals in Turkey and Syria at the same time as Turkey launched its offensive into northeastern Syria. ,0
173,173,April 2021 . Malware triggered an outage for airline reservation systems that caused the networks of 20 lo w-cost airlines around the world to crash . ,4
