,Description,month,year,country,country,industry,hacktype
156,"June 2021. Sol Oriens, a small government contractor tha t works for the Department of Energy on nuclear weapons issues, was attacked by the Russia -linked hacking group REvil. ",June,2021,Russia,United States,Energy,Unknown
157,"June 2021. A spreadsheet was leaked containing classified personal details of the 1,182 United Kingdomâs Special Forces soldiers on Wha tsApp. ",June,2021,Unknown,United Kingdom,Defense,Unknown
158,"June 2021. A ransomware attack targeted iConstituent, a newsletter service used by U.S. lawmakers to contact constituents. ",June,2021,Unknown,United States,Government,Malware
159,June 2021. Hackers working on behalf of Russian intelligence services are believed to have hacked Netherlands police internal network in 2017. The attack occurred during the countryâs investigation of the Malaysia Airlines Flight 17 (MH17) that was shot down in 2014 . ,Unknown,2017,Russia,Netherlands,Government,Unknown
160,"May 2021. LineStar Integrity Services, a pipeline -focused business, was hit by a ransomware attack the same time as the Colonial Pipeline, with 70 gigabytes of its internal files being stolen. ",May,2021,Unknown,United States,Technology,Malware
161,May 2021. A North Korean cyberattack on South Korea's stat e-run Korea Atomic Energy Research Institute (KAERI) occurred through a vulnerability in a vendorâs VPN. ,May,2021,"Korea, North","Korea, South",Energy,Unknown
162,"May 2021. The worldâs largest meat processing company, Brazilian -based JBS, was the victim of a ransomware attack. The attack shut down facilities in the United States, Canada and Australia. The attack was attributed to the Russian speaking cybercrime group, REvil. ",May,2021,Russia,United States,Unknown,Malware
163,"May 2021. On May 24th, hackers gained access to Fujitsuâs systems and stole files belonging to multiple Japanese government entities. So far four government agencies have been impacted. ",May,2021,Unknown,Japan,Government,Data Exfiltration
164,"May 2021. Cybersecurity researchers identified a North Korean hacking group to be responsible for a cyber espionage campaign, targeting high profile South Korean government officials, utilizing a phishing methodology. The groupâs targets were based in South Korea and included: the Korea Internet and Security Agency (KISA), ROK Ministry of Foreign Affairs, Ambassador of the Embassy of Sri Lanka to the State (in ROK), International Atomic Energy Agency Nucle ar Security Officer, Deputy Consul General at Korean Consulate General in Hong Kong, Seoul   National University, and Daishin Securities. ",May,2021,"Korea, North","Korea, South",Government,Phishing
165,"May 2021 . On May 14, Irelandâs national health service, the Health Service Executive (HSE), was the victim of a ransom ware attack. Upon discovering the attack, government authorities shut down the HSE system. The attackers utilized the Conti ransomware -as-a-service (RaaS), which is reported to be operated by a Russia -based cybercrime group. ",May,2021,Russia,Ireland,Healthcare,Malware
166,"May 2021 . The FBI and the Aus tralian Cyber Security Centre warned of an ongoing Avaddon ransomware campaign targeting multiple sectors in various countries. The reported targeted countries are Australia, Belgium, Brazil, Canada, China, Costa Rica, Czech Republic, France, Germany, Indi a, Indonesia, Italy, Jordan, Peru, Poland, Portugal, Spain, UAE, UK, US. The targeted industries include: academia, airlines, construction, energy, equipment, financial, freight, government, health, it, law enforcement, manufacturing, marketing, retail, pharmaceutical. ",May,2021,Unknown,Costa Rica,Unknown,Malware
167,"May 2021 . On May 6, the Colonial Pipeline, the largest fuel pipeline in the United States, was the target of a ransomware attack. The energy company shut down the pipeline and later paid a $5 million ransom. The attack is attributed to Dark Side, a Russian speaking hacking group. ",May,2021,Russia,United States,Energy,Malware
168,"May 2021 . On May 4th and 5th, the Norwegian energy technology company Volue was the victim of a ransomware attack. The attack resulted in the shutdown of water and water treatment facilities in 200 municipalities, affecting approximately 85% of the Norwegian population. ",May,2021,Unknown,Norway,Energy,Malware
169,"May 2021 . A large DDoS attack disabled the ISP used by Belgiumâs government, impacting more than 200 organizations causing the cancellation of multiple Parliamentary meetings ",May,2021,Unknown,Belgium,Government,Denial of Service
170,May 2021 . A Chinese hacking group compromised a Russian defense contractor involved in designing nuclear submarines for the Russian navy. ,May,2021,China,Russia,Defense,Malware
171,April 2021 . A hacking group compromised the social media accounts of Polish officials and used them to disseminate narratives critical of NATO. German authorities have reported that the same group has also attempted to compromise members of the Bundestag and state parliament. ,April,2021,Unknown,Poland,Government,Misinformation
172,April 2021 . Hacke rs linked to the Chinese military conducted an espionage campaign targeting military and government organizations in Southeast Asia beginning in 2019 ,Unknown,2019,China,Unknown,Defense,Data Exfiltration
173,April 2021 . Malware triggered an outage for airline reservation systems that caused the networks of 20 lo w-cost airlines around the world to crash . ,April,2021,Unknown,United States,Non-profit,Malware
174,April 2021 . Russian hackers targeted Ukrainian government officials with spearphishing attempts as tensions between the two nations rose during early 2021 . ,April,2021,Russia,Ukraine,Government,Phishing
175,"April 2021 . Hackers linked to Palestinian intelligence conducted a cyber espionage campaign compromising approximately 800 Palestinian reporters, activists, and dissidents both in Palestine and more broadly across the Middle East.   ",April,2021,Unknown,Israel,Unknown,Data Exfiltration
176,April 2021 . Two state -backed hackin g groups âone of which works on behalf of the Chinese government âexploited vulnerabilities in a VPN service to target organizations across the U.S. and Europe with a particular focus on U.S. defense contractors. ,April,2021,China,United States,Defense,Zero-day Exploits
177,"April 2021 . MI5 warned that over 10,000 UK professional shave been targeted by hostile states over the past five years as part of spearphishing and social engineering campaigns on LinkedIn. ",April,2021,Unknown,United Kingdom,Unknown,Unknown
178,April 2021 . Swedish officials disclosed that t he Swedish Sports Confederati on was hacked by Russian military intelligence in late 2017 and early 2018 in response to accusations of Russian government -sponsored doping of Russian athletes .   ,Unknown,2017,Russia,Sweden,Defense,Unknown
179,April 2021. New York City's Metropolitan Transportation Authority (MTA) was hacked by Chinese -backed actors but were unable to gain access to user data or information systems. ,April,2021,China,United States,Transportation,Unknown
180,April 2021 . French security researchers found that the number of attacks hitting critica l French businesses increased fourfold in 2020 during the COVID -19 pandemic. ,Unknown,2020,Unknown,France,Defense,Unknown
181,April 2021 . The European Commission announced that the EC and multiple other EU organizations were hit by a major cyberattack by unknow n hackers. ,April,2021,Unknown,Unknown,Government,Unknown
182,April 2021 . Chinese hackers launched a months -long cyber espionage campaign during the second half of 2020 targeting government agencies in Vietnam with the intent of gathering political intelligence . ,Unknown,2020,China,Vietnam,Government,Data Exfiltration
183,March 2021. China -based hackers breached the networks of the Tim es of India and transferred data to an off -site server. Researchers believed the hackers aimed to access media sources and gain early knowledge of media investigations and reporting. ,March,2021,China,India,Media,Data Exfiltration
184,March 2021 . The North Korean hacking group responsible for a set of attacks on cyber security researchers in January 2021 launched a new campaign targeting infosec professionals using fake social media profiles and a fake website for a non -existent security service company target . ,January,2021,"Korea, North","Korea, South",Defense,Malware
185,"March 2021 . Suspected Iranian hackers targeted medical researchers in Israel and the U.S. in an attempt to steal the credentials of geneticists, neuro logists, and oncologists in the two countries . ",March,2021,Iran,Israel,Healthcare,Data Exfiltration
186,March 2021 . Suspected Russian hackers stole thousands of emails after breaching the email server o f the U.S. State Department . ,March,2021,Russia,United States,Government,Data Exfiltration
187,"March 2021 . Suspected state hackers targeted the Australian media company Nine Entertainment with a ransomware variant, disrupting live broadcasts and print production systems. ",March,2021,Unknown,Australia,Media,Malware
188,March 2021 . Suspected Russian hackers attempted to gain access to the personal email ac counts of German parliamentarians in the run -up to Germanyâs national elections . ,March,2021,Russia,Germany,Government,Unknown
189,March 2021 . U.S. Cyber Command confirmed that it was assisting Columbia in responding to election interference and influence operations. ,March,2021,Unknown,Colombia,Government,Unknown
190,"March 2021 . The head of U.S. Cyber Command testified that the organization had conducted more than two dozen operations to confront foreign threats ahead of the 2020 U.S. elections, including eleven forward hunt operations in nine different countries. ",Unknown,2020,United States,United States,Government,Unknown
191,"March 2021 . A group of Chinese hackers used Facebook to send malicious links to Uyghur   activists, journalists, and dissidents located abroad. ",March,2021,China,China,Unknown,Unknown
192,March 2021 . The Indian Computer Emergency Response Team found evidence of Chinese hackers conducting a cyber espionage campaign against the Indian transportation sector . ,March,2021,China,India,Transportation,Data Exfiltration
193,March 2021 . Polish security services announced that suspected Russian hackers briefly took over the websites of Polandâs National Atomic Energy Agency and Health Ministry to spread false alerts of a nonexistent radioactive threat . ,March,2021,Russia,Poland,Energy,Denial of Service
194,"March 2021. Both Russian and Chinese intelligence services targeted the European Medicines Agency in 2020 in unrela ted campaigns , stealing documents relating to COVID -19 vaccines and medicines . ",Unknown,2020,China,Russia,Healthcare,Data Exfiltration
195,March 2021 . Ukraineâs State Security Service announced it had prevented a large -scale attack by Russian FSB hackers attempting to gain access to classified government data . ,March,2021,Russia,Ukraine,Government,Unknown
196,March 2021. Lithuaniaâs State Security Department declared that Russian hackers had targeted top Lithuanian officials in 2020 and used the countryâs IT infrastructure to carry o ut attacks against organizations involved in developing a C OVID -19 vaccine . ,Unknown,2020,Russia,Lithuania,Government,Unknown
197,"March 2021. Suspected Iranian hackers targeted government agencies, academia, and the tourism industry in Azerbaijan, Bahrain, Israel, Saudi Arabia, and the UAE as part of a cyber espionage campaign. ",March,2021,Iran,Bahrain,Government,Data Exfiltration
198,"March 2021 . Chinese government hackers targeted Microsoftâs enterprise email software to steal data from over 30,000 organizations around the world, including government agencies, legislative bodies , law firms, defense contractors, infectious disease researchers, and policy think tanks. ",March,2021,China,Unknown,Government,Data Exfiltration
199,March 2021 . Suspected Chinese hackers targeted electricity grid operators in India in an apparent attempt to lay the groundwork for possible future attacks. ,March,2021,China,India,Energy,Unknown
200,"February 2021 . A Portuguese -speaking c yber criminal group accessed computer systems at a division of Oxford University researching COVID -19 vaccines , and are suspected to be selling the data they collected to nation states . ",February,2021,Portugal,Portugal,Education,Data Exfiltration
201,February 2021 . North Korean hackers targeted defense firms in more than a dozen countries in an espionage campaign st arting in early 2020 . ,Unknown,2020,"Korea, North",Unknown,Defense,Data Exfiltration
202,February 2021 . Hackers associated with the Chinese military conducted a surveillance campaign against Tibetans both in China and abroad . ,February,2021,China,China,Unknown,Data Exfiltration
203,February 2021 . Russian hackers compromised a Ukrainian government file -sharing system and   attempted to disseminate malicious documents that would install malware on computers that downloaded the planted files . ,February,2021,Russia,Ukraine,Government,Malware
204,"February 2021 . Hackers linked to the Vietnamese government conducted a nearly thre e-year cyber espionage campaign against human rights advocates in the country by using spyware to infiltrate individualsâ systems, spy on their activity, and exfiltrate data. ",February,2021,Vietnam,Unknown,Government,Malware
205,February 2021 . Ukrainian officials reported that a multi -day distributed denial -of-service attack against the website of the Security Service of Ukraine was part of Russiaâs hybrid warfare operations in the country . ,February,2021,Russia,Ukraine,Defense,Denial of Service
206,February 2021 . The US Department of Justice indicted three North Korean hackers for conspiring to steal and extort more than $1.3 billion in cash and cryptocurrencies . ,February,2021,"Korea, North",United States,Finance,Data Exfiltration
207,"February 2021 . Iranian hackers took control of a server in Amsterdam and used it as a command and control center for attacks agains t political opponents in the Netherlands, Germany, Sweden, and India . ",February,2021,Iran,Netherlands,Government,Malware
208,February 2021. North Korean hackers attempted to break into the computer systems of pharmaceutical company Pfizer to gain information about vaccines and treatments for the COVID -19. ,February,2021,"Korea, North",Unknown,Healthcare,Malware
209,February 2021 . Suspected Iranian hackers targeted government agencies in the UAE as part of a cyber espionage campaign related to the normalizations of relations with Israel . ,February,2021,Iran,United Arab Emirates,Government,Data Exfiltration
210,February 2021 . The French national cybersecurity agency announced that a four -year campaign against French IT providers was the work of a Russian hacking group . ,February,2021,Russia,France,Telecommunications,Unknown
211,"February 2021 . Suspected Indian hackers targeted over 150 individuals in Pakistan, Kazakhstan, and India using mobile malware, including those wi th links to the Pakistan Atomic Energy Commission, the Pakistan Air Force, and election officials in Kashmir. ",February,2021,India,Pakistan,Government,Malware
212,"February 2021 . Ten members of a cybercriminal gang w ere arrested after a campaign where they tricked telecom companies into assigning celebritiesâ phone numbers to new devices , stealing more than $100 million worth of cryptocurrencies . ",February,2021,Unknown,Unknown,Telecommunications,Phishing
213,"February 2021. Unkn own hackers attempted to raise levels of sodium hydroxide in the water supply of Oldsmar, Florida by a factor of 100 by exploiting a remote access system . ",February,2021,Unknown,United States,Utilities,Unknown
214,"February 2021. Two Iranian hacking groups conducted espionage campaigns against Iranian dissidents in sixteen countries in the Middle East, Europe, South Asia, and North America . ",February,2021,Iran,Unknown,Unknown,Data Exfiltration
215,"January 2021 . Hackers linked to Hezbollah breached telecom companies, internet service   providers , and hosting providers in the US, UK, Egypt, Israel, Lebanon, Jordan, Saudi Arabia, the UAE, and the Palestinian Authority for intelligence gathering and data theft . ",January,2021,Iran,United States,Telecommunications,Data Exfiltration
216,January 2021 . North Korean government hackers engaged in a sophisticated social engineering campaign against cyber security researchers that used multiple fake twitter accounts and a fake blog to drive targets to infected sites or induce them to open infected attachmen ts in emails asking the target to collaborate on a research project . ,January,2021,"Korea, North","Korea, South",Technology,Zero-day Exploits
217,"January 2021. Suspected Indian hackers active since 2012 were attacked business and governments across South and East Asia, with a particular emphasis on military and government organizations in Pakistan, China, Nepal, and Afghanistan, and businesses involved in defense technology, scientific research, finance, energy, and m ining. ",Unknown,2012,India,Pakistan,Defense,Unknown
218,January 2021. Unidentified hackers breached one of the data centers of New Zealandâs central bank. ,January,2021,Unknown,New Zealand,Finance,Data Exfiltration
219,"January 2021. Hackers linked to the Chinese government were responsible for ransomware attacks against five major gaming and gambling countries, de manding over $100 million in ransom. ",January,2021,China,China,Unknown,Malware
220,"December 2020. On Christmas Eve, hackers hit the Scottish Environment Protection Agency with a ransomware attack. After deciding not to pay the ransom, the hackers published the data that had been stolen. ",December,2020,Unknown,United Kingdom,Government,Malware
221,"December 2020. Iranian state hackers used a Christmas theme for a spearphishing campaign targeting think tanks, research organizations, academics, journalists, and activists in the Persian Gulf, EU, and US . ",December,2020,Iran,Iran,Non-profit,Phishing
222,"December 2020 . Chinese hackers targeted the Finnish parliament, breaching the email accounts of parliament members and other employees . ",December,2020,China,Finland,Government,Unknown
223,December 2020 . African Union staff found that Chinese hackers had been siphoning off security footage from cameras installed in the AU headquarters . ,December,2020,China,France,Government,Data Exfiltration
224,"December 2020 . One Saudi hacking group , One UAE hacking group, and two unknown government -sponsored hacking groups used spyware purchased from the Israeli vendor NSO Group to hack 36 phones belonging to Al Jazeera employees. ",December,2020,Unknown,United Arab Emirates,Telecommunications,Malware
225,December 2020 . Facebook found that two groups of Russians and one group of individuals affiliated with the French military were using fake Facebook accounts to conduct dueling political information operations in Africa. ,December,2020,Russia,France,Defense,Unknown
226,December 2020 . More than 40 Israeli companies had data stolen after Iranian hackers   compromised a developer of logistics management software and used their access to exfiltrate data from the firmâs clients . ,December,2020,Iran,Israel,Transportation,Data Exfiltration
227,"December 2020 . Unknown state -sponsored hackers took advantage of territory disputes between China, India, Nepal, and Pakistan to target government and military organizations across South Asia, including the Nepali Army and Ministries of Defense and Foreign Affairs, the Sri Lankan Ministry of Defense, and the Afghan National security Council and Presidential Palace. ",December,2020,China,Nepal,Defense,Unknown
228,"December 2020 . Facebook announced that its use rs had been targeted by two hacking campaigns, one originating from state -sponsored Vietnamese hackers focused on spreading malware, and the other from two non -profit groups in Bangladesh focused on compromising accounts and coordinating the reporting of accounts and pages for removal . ",December,2020,Vietnam,Bangladesh,Non-profit,Malware
229,December 2020 . Suspected Chinese hackers targeted government agencies and the National Data Center of Mongolia as part of a phishing campaign . ,December,2020,China,Mongolia,Government,Phishing
230,December 2020 . Hackers accessed data related to the C OVID -19 vacci ne being developed by Pfizer during an attack on the European Medicines Agency. ,December,2020,Unknown,France,Healthcare,Data Exfiltration
231,December 2020 . Over 200 organizations around the world âincluding multiple US government agencies âwere revealed to have been breached by Russian hackers who compromised the software provider SolarWinds and exploited their access to monitor internal operations and exfiltrate data . ,December,2020,Russia,United States,Government,Supply Chain
232,"December 2020 . A criminal group targeted the Israeli insurance company Shirbit with ransomware, demanding almost $1 million in bitcoin . The hackers published some sensitive personal information after making their demands and threatened to reveal more if they did not receive payment. ",December,2020,Unknown,Israel,Finance,Malware
233,December 2020 . CISA and the FBI announced that U.S. think tanks focusing on national security and internat ional affairs were being targeted by state -sponsored hacking groups . ,December,2020,Unknown,United States,Defense,Unknown
234,December 2020 . Suspected state-sponsored hackers from an unknown country conducted a spear phishing campaign against organizations in six countries involved in providing special temperature -controlled environments to support the C OVID -19 supply chain. ,December,2020,Unknown,Unknown,Non-profit,Phishing
235,"November 2020 . A Mexican facility owned by Foxconn was hit by a ransomware attack that the hackers claim resulte d in 1,200 servers being encrypted, 20 -30 TB of backups being deleted, and 100 GB of encrypted files being stolen. ",November,2020,Unknown,Mexico,Technology,Malware
236,November 2020 . North Korean hackers targeted COVID -19 vaccine developer AstraZeneca by posing as recruiters and sending the companyâs employees fake job offers that included malware . ,November,2020,"Korea, North",Unknown,Non-profit,Malware
237,"November 2020 . Chinese hackers targeted Japanese organizations in multiple industry sectors located in multiple regions around the globe, including North America, Europe, Asia, and the Middle East.   ",November,2020,China,Japan,Unknown,Malware
238,November 2020 . Suspected Chinese government hackers conducted a cyber espionage campaign from 2018 to 2020 targeting government orga nizations in Southeast Asia . ,Unknown,2018,China,Unknown,Government,Data Exfiltration
239,November 2020 . A North Korean hacking group engaged in software supply chain attacks against South Korean internet users by compromising legitimate South Korean security software . ,November,2020,"Korea, North","Korea, South",Defense,Supply Chain
240,November 2020 . One Russian and two North Korean hacking groups launched attacks against seven companies involved in COVID -19 vaccine research . ,November,2020,Russia,Unknown,Unknown,Unknown
241,"November 2020 . A group of hackers for hire launched attacks against a group of targets in South Asia, and particularly India, Bangladesh, and Singapore. These attacks included the use of a custom backdoor and crede ntial theft . ",November,2020,Unknown,India,Unknown,Data Exfiltration
242,"November 2020 . A group of Vietnamese hackers created and maintained a number of fake websites devoted to news and activism in Southeast Asia that were used to profile users, re-direct to phishing pages, and distribute malware . ",November,2020,Vietnam,Unknown,Unknown,Misinformation
243,November 2020 . U.S. Cyber Command and the NSA conducted offensive cyber operations against Iran to prevent interference in the upcoming U.S. elections. ,November,2020,United States,Iran,Government,Unknown
244,November 2020 . Hamas used a secret headquarters in Turkey to carry out cyberattacks a nd counter -intelligence operations . ,November,2020,Unknown,Turkey,Unknown,Unknown
245,October 2020 . The U.S. government announces that Iranian hackers targeted state election websites in order to download voter registration information and conduct a voter intimidation campaign ,October,2020,Iran,United States,Government,Unknown
246,"October 2020 . A spokesperson for Chinaâs Foreign Ministry responded to accusations that Chinese state -sponsored hackers were targeting the U.S. defense industrial base by declaring that the United States was an âempire of hacking,â c iting 2013 leaks about the NSAâs Prism program. ",October,2020,United States,China,Defense,Unknown
247,October 2020. India's National Cyber Security Coordinator announced that c yber crimes in India cost almost $17 billion in 2019 . ,October,2020,Unknown,India,Unknown,Unknown
248,October 2020 . A Russian cyber espionage group hacked into an unidentified European government organization ,October,2020,Russia,Unknown,Government,Data Exfiltration
249,October 2020 . Iranian hackers targeted attendees of the Munich Security Conference in order to gather intelligence on foreign policy from the compromised individuals ,October,2020,Iran,Germany,Defense,Data Exfiltration
250,October 2020 . Greek hackers defaced the website of the Turkish Parliament and 150 Azerbaijani government websites in support of Armenia. ,October,2020,Greece,Armenia,Government,Denial of Service
251,"October 2020 . The FBI, CISA and U.S. Cyber Co mmand announced that a North Korean hacking   group had been conducting a cyber espionage campaign against individual exper ts, think tanks, and government entities in South Korea, Japan, and the United States with the purpose of collecting intelligence on na tional security issues related to the Korean peninsula, sanctions, and nuclear policy ",October,2020,"Korea, North","Korea, South",Government,Data Exfiltration
252,"October 2020 . The FBI and CISA announced that a Russian hacking group breached U.S. state and local government networks, as well as aviation networks, and exfiltrated da ta ",October,2020,Russia,United States,Government,Unknown
253,October 2020 . A North Korean hacker group carried out attacks against aerospace and defense companies in Russia. ,October,2020,"Korea, North",Russia,Defense,Unknown
254,"October 2020 . An Iranian hacking group conducted a phishing campaign a gainst universities in Australia, Canada, the UK, the U.S., the Netherlands, Singapore, Denmark, and Sweden. ",October,2020,Iran,Australia,Education,Phishing
255,"October 2020. Suspected Iranian hackers targeted government agencies and telecommunications operators in Iraq, Kuwait, Turkey, and the UAE as par t of a cyber espionage campaign ",October,2020,Iran,Iraq,Government,Data Exfiltration
256,October 2020 . The NSA warned that Chinese government hackers were targeting the U.S. defense industrial base as part of a wide -ranging espionage campaign ,October,2020,China,United States,Defense,Data Exfiltration
257,October 2020 . The UKâs National Cyber Security Centre found evidence that Russian military intelligence hackers had been planning a disruptive cyber attack on the later -postponed 2020 Tokyo Olympics. ,October,2020,Russia,United Kingdom,Defense,Unknown
258,"October 2020 . The U.S. indicted six Russian GRU officers for thei r involvement in hacking incidents including the 2015 and 2016 attacks on Ukrainian critical infrastructure, the 2017 NotPetya ransomware outbreak, election interference in the 2017 French elections, and others. ",Unknown,2015,Russia,Ukraine,Government,Malware
259,October 2020. Iran announced that the coun tryâs Ports and Maritime Organization and one other unspecified government agency had come under cyberattack ,October,2020,Iran,Iran,Government,Unknown
260,October 2020 . Microsoft and U.S. Cyber Command both independently undertook operations to take down a Russian botnet ahead of the U.S. election. ,October,2020,Russia,United States,Government,Unknown
261,"October 2020 . The U.S. Department of Homeland Security revealed that hackers targeted the U.S. Census Bureau in a possible attempt to collect bulk data, alter registration information, compromise census infrastructure, or conduct DoS attacks ",October,2020,Unknown,United States,Government,Data Exfiltration
262,"October 2020 . U.S. government officials revealed that suspected Chinese hackers were behind a series of attacks on entities in Russia, India, Ukraine, Kazakhstan, Kyrgyzstan, and Malaysia ",October,2020,China,United States,Unknown,Unknown
263,"October 2020 . A Chinese group targeted diplomatic entities and NGOs in Afr ica, Asia, and Europe using advanced malware adapted from code leaked by the Italian hacking tool vendor HackingTeam ",October,2020,China,Unknown,Government,Malware
264,October 2020 . Iranian hackers exploited a serious Windows vulnerability to target Middle   Eastern network technology providers and organi zations involved in work with refugees . ,October,2020,Iran,Unknown,Telecommunications,Zero-day Exploits
265,October 2020. A cyber mercenary group targeted government officials and private organizations in South Asia and the Middle East using a combination of methods including zero -day exploits . ,October,2020,Unknown,Unknown,Government,Zero-day Exploits
266,"October 2020 . In the mid st of escalating conflict between Armenia and Azerbaijan over the territory of Nagorno -Karabakh, an unknown intelligence service conducted a cyber espionage campaign targeting Azerbaijani government institutions . ",October,2020,Unknown,Armenia,Government,Data Exfiltration
267,October 2020 . A previously unknown cyber espionage group was found to have been stealing documents from government agencies and corporations in Eastern Europe and the Balkans since 2011. ,October,2020,Unknown,Unknown,Government,Data Exfiltration
268,October 2020 . The UN shipping agency the International Maritime Organization ( IMO) reported that its website and networks had been disrupted by a sophisticated cyber attack . ,October,2020,Unknown,United States,Non-profit,Unknown
269,October 2020 . North Korean hackers targeted a ministry of health and a pharmaceutical company involved in COVID -19 research and response . ,October,2020,"Korea, North",Unknown,Healthcare,Unknown
270,"September 2020 . Ame rican healthcare firm Universal Health Systems sustained a ransomware attack that caused affected hospitals to revert to manual backups, divert ambulances, and reschedule surgeries ",September,2020,Unknown,Cuba,Healthcare,Malware
271,"September 2020. French shipping company CMA CGM SA saw two of its subsidiaries in Asia hit with a ransomware attack that caused significant disruptions to IT networks, though did not affect the moving of cargo ",September,2020,Unknown,France,Transportation,Malware
272,"September 2020 . Russian hackers targeted government agencies in NATO member countries, and nations who cooperate with NATO. The campaign uses NATO training material as bait for a phishing scheme that infects target computers with malware that creates a persistent backdo or. ",September,2020,Russia,Unknown,Government,Phishing
273,September 2020 . Chinese hackers stole information related to Covid -19 vaccine development from Spanish research centers ,September,2020,China,Spain,Non-profit,Data Exfiltration
274,"September 2020 . Iranian hackers targeted Iranian minorities, anti -regime organizations, and resistance members using a combinati on of malware including an Android backdoor designed to steal two factor authentication codes from text messages. ",September,2020,Iran,Iran,Unknown,Malware
275,"September 2020 . Three hackers operating at the direction of Iranâs Islamic Revolutionary Guard Corps were indicted by the United States for attacks against workers at aerospace and satellite technology companies, as well as international government organizations. ",September,2020,Iran,United States,Defense,Unknown
276,September 2020 . A ransomware attack on a German hospital may have led to the death of a patient who had to be redirected to a more distant hospital for treatment. ,September,2020,Unknown,Germany,Healthcare,Malware
277,"September 2020 . The U.S. Department of Justice indicted five Chinese hackers with ties to   Chinese intelligence services for attacks on more than 100 organizations across government, IT, social media, academia, and more ",September,2020,China,United States,Government,Unknown
278,"September 2020 . The FBI and CISA announced that Iranian hackers had been exploiting publicly known vulnerabilities to target U.S. organizations in the IT, government, healthcare, finance, and media sectors. ",September,2020,Iran,United States,Finance,Zero-day Exploits
279,September 2020 . CISA revealed that hackers ass ociated with the Chinese Ministry of State Security had been scanning U.S. government and private networks for over a year in search of networking devices that could be compromised using exploits for recently discovered vulnerabilities ,September,2020,China,United States,Government,Zero-day Exploits
280,September 2020 . One government organization in the Middle East and one in North Africa were targeted with possible wiper malware that leveraged a ransomware -as-a-service offering that has recently become popular on cybercrime markets ,September,2020,Unknown,Unknown,Government,Malware
281,September 2020. Georgian officials ann ounce that COVID -19 research files at a biomedical research facility in Tbilisi was targeted as part of a cyberespionage campaign ,September,2020,Unknown,Georgia,Healthcare,Data Exfiltration
282,September 2020. Norway announced it had defended against two sets of cyber attacks that targeted the emails of several membe rs and employees of the Norwegian parliament as well as public employees in the Hedmark region. It later blamed Russia for the attack. ,September,2020,Russia,Norway,Government,Unknown
283,"August 2020 . A North Korean hacking group targeted 28 UN officials in a spear -phishing campaign, including at least 11 individuals representing six members of the UN Security Council. ",August,2020,"Korea, North",Unknown,Non-profit,Phishing
284,"August 2020 . Hackers for hire suspected of operating on behalf of the Iranian government were found to have been working to gain access to sensitive information held by North American and Israeli entities across a range of sectors, including technology, government, d efense, and healthcare. ",August,2020,Iran,United States,Technology,Data Exfiltration
285,August 2020 . New Zealandâs stock exchange faced several days of disruptions after a severe distributed denial of service attack was launched by unknown actors ,August,2020,Unknown,New Zealand,Finance,Denial of Service
286,August 2020 . U.S. officials announced that North Korean government h ackers had been operating a campaign focused on stealing money from ATMs around the world. ,August,2020,"Korea, North",Unknown,Finance,Data Exfiltration
287,"August 2020 . Suspected Pakistani hackers used custom malware to steal files from victims in twenty -seven countries, most prominently in India and Afghanistan. ",August,2020,Pakistan,India,Unknown,Malware
288,August 2020 . Ukrainian officials announced that a Russian hacking group had begun to conduct a phishing campaign in preparations for operations on Ukraineâs independence day   ,August,2020,Russia,Ukraine,Government,Phishing
289,"August 2020 . Taiwan accused Chinese hackers of infiltrating the information syste ms of at least ten government agencies and 6,000 email accounts to gain access to citizensâ personal data and government information. ",August,2020,China,Taiwan,Government,Data Exfiltration
290,August 2020. A Chinese cyber espionage group targeted military and financial organizations across Eastern Europe Augus t 2020 . The Israeli defense ministry announced that it had successfully defended against a cyberattack on Israeli defense manufacturers launched by a suspected North Korean hacking group ,August,2020,"Korea, North",Israel,Defense,Data Exfiltration
291,August 2020 . An Iranian hacking group was found to be targeting maj or U.S. companies and government agencies by exploiting recently disclosed vulnerabilities in high -end network equipment to create backdoors for other groups to use ,August,2020,Iran,United States,Government,Zero-day Exploits
292,August 2020 . Pakistan announced that hackers associated with Indian intelligence agencies had targeted the mobile phones of Pakistani government officials and military personnel ,August,2020,India,Pakistan,Government,Unknown
293,"August 2020 . Seven semiconductor vendors in Taiwan were the victim of a two -year espionage campaign by suspected Chinese state hackers targeting firmsâ source code, software development kits, and chip designs. ",August,2020,China,Taiwan,Technology,Data Exfiltration
294,"August 2020 . Russian hackers compromised news sites and replaced legitimate articles with falsified posts that used fabricated quotes from military and political officials to discredit NATO among Polish, Lith uanian, and Latvian audiences. ",August,2020,Russia,Poland,Defense,Misinformation
295,"July 2020 . Israel announced that two cyber attacks had been carried out against Israeli water infrastructure, though neither were successful ",July,2020,Unknown,Israel,Utilities,Unknown
296,July 2020 . Chinese state -sponsored hackers broke into the networks of the Vatic an to conduct espionage in the lead -up to negotiations about control over the appointment of bishops and the status of churches in China. ,July,2020,China,China,Non-profit,Data Exfiltration
297,"July 2020 . Canada, the UK, and the U.S. announced that hackers associated with Russian intelligence had attempted to steal information related to COVID -19 vaccine development ",July,2020,Russia,Canada,Unknown,Data Exfiltration
298,July 2020 . The UK announced that it believed Russia had attempted to interfere in its 2019 general election by stealing and leaking documents related to the UK -US Free Trade Agreement ,July,2020,Russia,United Kingdom,Government,Data Exfiltration
